,chromosome,start,end
METTL21EP,chr13,103532449,103548383
PRDX2P1,chr13,30870284,30870872
LINC00427,chr13,30890497,30894040
ATP6V1G1P7,chr13,104096970,104097318
RPL7P45,chr13,105466678,105467420
DAOA-AS1,chr13,106111404,106158030
LINC00426,chr13,30914407,30951282
LINC00343,chr13,106356629,106416789
LINC01058,chr13,30993656,30996374
UBE2L5P,chr13,31002084,31002656
RNA5SP38,chr13,106807721,106807839
RBM22P2,chr13,31113734,31117598
LINC00460,chr13,107028911,107030565
MFAP1P1,chr13,31115780,31117034
RPL35P9,chr13,107078121,107078470
PTPN2P2,chr13,31127807,31128830
LINC00551,chr13,107270158,107283707
LINC00443,chr13,107306264,107324511
LINC00398,chr13,31377343,31384782
ATP5G1P5,chr13,107315785,107316195
PPIAP24,chr13,107516164,107516634
TEX26-AS1,chr13,31456070,31507983
MIR1267,chr13,108183519,108183596
FAM155A-IT1,chr13,108440690,108487799
RNA5SP39,chr13,108953560,108953679
HCFC2P1,chr13,109132574,109134165
MYO16-AS2,chr13,109753609,109754267
LINC00545,chr13,31456688,31457532
MYO16-AS1,chr13,109816250,109853831
LINC00370,chr13,109934321,109940081
LINC01066,chr13,31569299,31570275
LINC01067,chr13,109962483,109964121
MIR548X,chr21,20058408,20058482
WDR95P,chr13,31651391,31689836
LINC00399,chr13,110053043,110053988
LINC00676,chr13,110380629,110382354
PPIAP22,chr21,20230097,20230594
ANKRD26P4,chr13,31885426,31887058
RN7SKP10,chr13,110567443,110567767
LINC00396,chr13,110705632,110707299
EEF1DP3,chr13,32420978,32527609
RN7SL783P,chr13,110750200,110750498
COL4A2-AS2,chr13,111108743,111115634
LINC01073,chr13,32559822,32565134
FRY-AS1,chr13,32599451,32605776
COL4A2-AS1,chr13,111154922,111160526
SLC6A6P1,chr21,20616860,20618709
IFIT1P1,chr13,32958797,32960245
RPL21P107,chr13,111415021,111415480
RNU1-139P,chr21,20717465,20717629
LINC00567,chr13,111462023,111465431
RPL37P4,chr21,20966155,20966422
ANKRD10-IT1,chr13,111547406,111551519
ATP8A2P2,chr13,33051411,33052978
PARP1P1,chr13,111589106,111592131
C1QBPP,chr21,21131673,21132442
LINC00431,chr13,111635654,111642911
LINC00368,chr13,111748185,111755444
RNU6-772P,chr21,21728060,21728164
RN7SKP147,chr21,21728965,21729208
ARHGEF7-AS2,chr13,111766159,111768025
RNY1P4,chr13,33337576,33337690
FDPSP6,chr21,21760646,21761157
LINC00423,chr13,33451569,33485788
ARHGEF7-IT1,chr13,111774999,111796611
KRT18P2,chr21,21797261,21798518
ARHGEF7-AS1,chr13,111796652,111797080
TOMM22P3,chr13,33528195,33528539
RPS3AP1,chr21,21802755,21803074
STARD13-IT1,chr13,33732724,33738546
LINC00354,chr13,112554299,112555490
LINC00320,chr21,22114908,22175534
LINC00404,chr13,112760409,112761196
PPIAP1,chr21,22200445,22200940
LINC00403,chr13,112761433,112762329
LINC01070,chr13,112851664,112855314
LINC01043,chr13,112967781,112976072
LINC01044,chr13,112976881,112985539
ATP11A-AS1,chr13,113399763,113409007
LINC00317,chr21,23095613,23109639
STARD13-AS,chr13,33845516,33855471
IGHV1OR15-9,chr15,20169919,20170354
MCF2L-AS1,chr13,113621798,113623138
F10-AS1,chr13,113782469,113783194
KARSP2,chr13,113784730,113786368
IGHV3OR15-7,chr15,20192909,20193370
LDHBP1,chr13,113930931,113932049
IGHD5OR15-5A,chr15,20209093,20209115
GRTP1-AS1,chr13,114005988,114016183
DCUN1D2-AS,chr13,114123216,114130450
IGHD4OR15-4A,chr15,20210050,20210068
RNU1-16P,chr13,114133230,114133393
LINC00552,chr13,114451484,114454062
IGHD3OR15-3A,chr15,20211158,20211188
GAS6-AS1,chr13,114518603,114542321
IGHD2OR15-2A,chr15,20213655,20213685
GAS6-AS2,chr13,114567141,114569806
LINC00308,chr21,23470936,23488847
IGHD1OR15-1A,chr15,20216406,20216422
RN7SL247P,chr18,21852889,21853170
MIR320C2,chr18,21901650,21901699
LINC00454,chr13,114581673,114586624
RNU5A-4P,chr13,34403676,34403786
VDAC1P12,chr13,34656566,34657447
LINC00452,chr13,114586640,114626485
GOLGA6L6,chr15,20737094,20747114
LINC00457,chr13,35009587,35214822
LINC00565,chr13,114629487,114631817
RNU4-45P,chr21,23577511,23577651
RASA3-IT1,chr13,114873044,114874295
GAMTP2,chr13,35148341,35148803
MIR548AR,chr13,115009980,115010036
MAPK6PS2,chr21,23808610,23810669
MIR4502,chr13,115039303,115039383
SCAND3P1,chr13,35759431,35760816
CLCP2,chr13,115072121,115072541
PHBP13,chr13,35825207,35825966
LINC01054,chr13,115095034,115099423
LINC00445,chr13,36271661,36273393
RNU6-71P,chr13,36841305,36841411
IGHV1OR21-1,chr21,10862622,10863067
HIST1H2APS6,chr13,37064215,37064578
GAPDHP34,chr13,37314178,37315000
TCEAL4P1,chr13,37316015,37316602
ARL2BPP3,chr13,37363469,37369187
POTEB2,chr15,21040701,21071643
NDE1P2,chr13,37378335,37379439
SMAD9-AS1,chr13,37423503,37424183
LAMTOR3P1,chr13,37496676,37497045
RPL29P28,chr13,37500575,37501356
EIF4A1P5,chr13,37512537,37513631
RN7SKP1,chr13,37740489,37740795
RPS12P24,chr13,37794997,37795383
LINC01048,chr13,38055604,38058906
RN7SL609P,chr21,24052992,24053286
RNA5SP26,chr13,38428989,38429107
HSPD1P9,chr13,38567222,38568857
LINC00571,chr13,38624954,38717369
ZNF299P,chr21,24462350,24464153
LINC00437,chr13,39107480,39119436
MSANTD2P1,chr21,24473545,24475396
LINC00366,chr13,39150777,39153131
RNU2-55P,chr21,24654058,24654231
PRDX3P3,chr13,39191556,39192077
RNU6-56P,chr13,39353561,39353653
IGHD5OR15-5B,chr15,21215823,21215845
FREM2-AS1,chr13,39395935,39401707
PLA2G12AP2,chr13,39476524,39476787
IGHD4OR15-4B,chr15,21216780,21216798
ANKRD26P2,chr13,39496864,39510336
EEF1A1P1,chr21,24762579,24763317
IGHD3OR15-3B,chr15,21217888,21217918
NXT1P1,chr13,39743773,39744088
IGHD2OR15-2B,chr15,21220377,21220407
MIR4305,chr13,40238171,40238272
TUBAP,chr21,24779978,24781448
RNY4P14,chr13,40359552,40359647
CDKN2AIPNLP3,chr13,40391878,40392186
SECISBP2L,chr15,49280673,49338760
AZU1P1,chr13,40430847,40431231
IGHD1OR15-1B,chr15,21223129,21223145
LINC00332,chr13,40755946,40763165
RPL17P51,chr13,40798762,40798999
RNY3P9,chr13,40800964,40801069
RN7SKP2,chr13,40981259,40981577
LINC00598,chr13,41025131,41055143
RLIMP1,chr13,41192875,41195485
MIR320D1,chr13,41301964,41302011
MIR621,chr13,41384902,41384997
TPTE2P5,chr13,41396432,41495890
POTEB,chr15,22051853,22083227
TPTE,chr21,10906201,11029719
CYCSP34,chr13,41437735,41438038
SUGT1P3,chr13,41482295,41495910
RGS17P1,chr13,41566915,41567467
MIR3168,chr13,41675155,41675236
RN7SL597P,chr13,41696012,41696305
CALM2P3,chr13,41744836,41745284
MORF4L1P4,chr13,41773968,41774943
RAC1P3,chr13,41861877,41862456
RNU6-57P,chr13,41928693,41928795
TUBBP2,chr13,41958909,41959319
OR7E36P,chr13,42005425,42006446
OR7E155P,chr13,42013952,42015035
RAC1P1,chr18,22265736,22266315
OR7E37P,chr13,42016906,42017786
MIR5006,chr13,42142422,42142531
RN7SL515P,chr13,42381813,42382108
RNU6-74P,chr13,42479254,42479360
KARSP1,chr13,42499734,42501485
WBP2P1,chr18,22596398,22597168
RPS28P8,chr13,42577566,42577773
MAPK6PS3,chr13,42643068,42645229
RN7SL97P,chr18,23398200,23398496
CHCHD2P11,chr13,42755601,42756057
FHP1,chr13,42830009,42830711
RPS24P18,chr18,23678803,23679190
FABP3P2,chr13,42943374,42943793
DHFRP1,chr18,23749724,23751313
LINC01050,chr13,43384502,43386698
LINC00428,chr13,43416550,43417023
NPM1P2,chr18,23784833,23785868
ZDHHC4P1,chr13,43507994,43509028
FAM60BP,chr18,23835662,23836319
LINC00400,chr13,43732767,43733602
RPL36P19,chr13,43968661,43968961
ENOX1-AS2,chr13,44032601,44033259
ENOX1-AS1,chr13,44118054,44122192
RNU6-1289P,chr18,23946265,23946370
POTED,chr21,14982498,15013906
LINC00284,chr13,44482850,44604597
CIAPIN1P,chr18,24179372,24180302
AQP4-AS1,chr18,24235706,24770662
DGKZP1,chr13,44542560,44545335
LDLRAD4,chr18,13217497,13652754
LINC00390,chr13,44680514,44711372
SMIM2-AS1,chr13,44716682,44813010
SMIM2-IT1,chr13,44720606,44732358
LINC01071,chr13,44974386,44980120
SMARCE1P5,chr13,45168994,45170218
LIPI,chr21,15481134,15583166
LINC00407,chr13,45225948,45275152
LINC00330,chr13,45373639,45383766
RN7SL49P,chr13,45576285,45576580
RN7SKP3,chr13,45634864,45635221
RNU6-69P,chr13,45711997,45712100
SNORA31,chr13,45911615,45911744
RBM11,chr21,15588451,15600693
OR4M2,chr15,22368478,22369561
OR4N4,chr15,22382382,22383507
TPT1-AS1,chr13,45915480,45965872
IGHV1OR15-1,chr15,22448382,22448819
IGHV4OR15-8,chr15,22472918,22473353
HSPA13,chr21,15743436,15755805
RCN1P2,chr13,45964486,45965402
SLC25A30-AS1,chr13,45992297,45994506
PPIAP25,chr13,46010256,46010795
RNA5SP27,chr13,46125620,46125738
GOLGA6L1,chr15,22736246,22746002
TIMM9P3,chr13,46126998,46127271
COX4I1P2,chr13,46245980,46246526
LINC01055,chr13,46255225,46256554
AKR1B1P4,chr13,46261683,46262604
CPB2-AS1,chr13,46626941,46687467
RNA5SP489,chr21,26574521,26574629
RN7SL288P,chr13,46743594,46743883
RN7SKP5,chr13,46824077,46824348
FAM206BP,chr13,46844212,46844752
LINC00563,chr13,46870580,46871979
RNU2-6P,chr13,46948536,46948725
RNU6-68P,chr13,46984589,46984692
COPS2,chr15,49398268,49447858
SAMSN1,chr21,15857549,15955723
PPP1R2P4,chr13,46917102,47012325
OR7E101P,chr13,47034744,47035256
COX17P1,chr13,47064997,47065397
FKBP1AP3,chr13,47079253,47079571
HTR2A-AS1,chr13,47426278,47430434
GNG5P5,chr13,47881217,47881436
RN7SL700P,chr13,48033078,48033369
NAP1L4P3,chr13,48337595,48338741
RPL27AP8,chr13,48340775,48341220
TUBGCP5,chr15,22833395,22873892
LINC00444,chr13,48479464,48481492
LINC00562,chr13,48504290,48506757
SUCLA2-AS1,chr13,48575525,48576688
MED4-AS1,chr13,48651273,48654127
POLR2KP2,chr13,48708494,48708670
LINC00441,chr13,48870649,48877797
PPP1R26P1,chr13,48890999,48894611
PCNPP5,chr13,48902220,48902700
LINC01077,chr13,49144775,49147453
NRIP1,chr21,16333556,16437321
LINC00462,chr13,49151110,49152224
PSME2P2,chr13,49345264,49345965
UBA52P9,chr18,24935370,24935728
RNU6-60P,chr13,49562051,49562153
RAD17P2,chr13,49618215,49620930
RBM22P1,chr18,24998848,25000399
RNY3P2,chr13,49669527,49669628
COX7CP1,chr13,49761615,49761806
PA2G4P3,chr18,25032478,25033621
OGFOD1P1,chr13,49784558,49786430
SNRPGP14,chr13,50063106,50063500
RMDN3,chr15,41028082,41048049
ARIH2P1,chr18,26231696,26233172
RNY4P30,chr13,50463770,50463864
CTAGE10P,chr13,50464727,50467134
RNU6-408P,chr18,26628584,26628683
RNY4P9,chr13,50482770,50482866
MIR3613,chr13,50570551,50570637
RNU6-857P,chr18,28564072,28564181
DLEU2,chr13,50601269,50699856
RPL13AP7,chr21,26734135,26734745
LINC00158,chr21,26758133,26804013
MIR16-1,chr13,50623109,50623197
RNU6-167P,chr18,28925325,28925430
RPL18P10,chr13,50673467,50674004
MIR155HG,chr21,26934221,26947480
ST13P4,chr13,50746225,50747317
LINC00515,chr21,26955082,26955638
RNGTTP1,chr21,27015801,27016528
RPL34P26,chr13,50935546,50935899
FDX1P2,chr21,27064492,27064866
RNU6-1002P,chr18,29249252,29249341
RN7SKP44,chr18,29298856,29299171
GCHFR,chr15,41056218,41059906
LRRC37A7P,chr18,29304161,29306919
DLEU7-AS1,chr13,51381992,51423190
RNU6-123P,chr21,27315359,27315460
RNA5SP28,chr13,51387124,51387242
RNU6-1050P,chr18,29517496,29517602
RNASEH2B-AS1,chr13,51450822,51484848
RNU6-926P,chr21,27563026,27563132
PGDP1,chr18,29542141,29543581
RNA5SP453,chr18,29756013,29756131
HNRNPA1P7,chr18,29991471,29993167
WBP11P1,chr18,30091626,30094597
DNAJC17,chr15,41060067,41099675
FAM210A,chr18,13663346,13726662
GUCY1B2,chr13,51568647,51654998
USP25,chr21,17102344,17252377
MIR4759,chr21,28326280,28326362
GPX1P2,chr21,28515663,28516268
RNA5SP29,chr13,51601883,51601988
LINC00371,chr13,51656984,51746524
RPL5P31,chr13,51735859,51736493
SLMO2P2,chr13,51770017,51770217
MIR5693,chr13,51922703,51922775
ST8SIA5,chr18,44259081,44339220
INTS6-AS1,chr13,52026503,52126500
C21orf37,chr21,18811208,18821503
RPS4XP16,chr13,52028300,52035451
RN7SL320P,chr13,52043886,52044181
SNRPGP11,chr13,52070156,52070387
MIR4703,chr13,52126725,52126803
RNU6-65P,chr13,52139548,52139645
RNY1P6,chr13,52160560,52160668
RN7SL413P,chr13,52168057,52168351
ATP5F1P1,chr13,52172552,52173596
CTAGE3P,chr13,52482354,52484757
FABP5P2,chr13,52540878,52541285
CXADR,chr21,18884700,18965897
MRPS31P5,chr13,52741844,52768600
RNMT,chr18,13726659,13764557
PIAS2,chr18,44388353,44500123
TPTE2P2,chr13,52793479,52908412
GALK2,chr15,49447853,49660066
BTG3,chr21,18965971,18985265
EIF4A1P1,chr21,28739333,28740266
SUMO2P15,chr15,41052795,41053072
RPL10P1,chr21,28792699,28793342
NCSTNP1,chr21,28864437,28864580
C15orf62,chr15,41062159,41064643
EPPIN-WFDC6,chr20,44165625,44176065
LINC00113,chr21,29094698,29123552
ISCA1P4,chr15,41240934,41241067
LINC00314,chr21,29385682,29395552
CYCSP2,chr15,41401076,41401376
WFDC8,chr20,44179792,44207965
TPM1,chr15,63334831,63364114
FAM92A1P1,chr15,41455360,41456572
RN7SL497P,chr15,41484165,41484463
WFDC9,chr20,44236578,44259907
C21orf91,chr21,19161284,19191703
OIP5-AS1,chr15,41576188,41601901
ZNF271,chr18,32870246,32890730
CRTC3,chr15,91073157,91188577
NRBF2P1,chr18,33421723,33422581
MIR187,chr18,33484781,33484889
MIR3929,chr18,33514051,33514105
ZFYVE19,chr15,41099284,41106767
CSTF1,chr20,54967427,54979518
CHODL,chr21,19273580,19639690
MIR4318,chr18,35237098,35237178
RN7SKP182,chr18,36596011,36596308
RNU6-706P,chr18,36613971,36614074
LINC00669,chr18,36786888,37380282
RNY4P24,chr13,52974139,52974234
LINC00345,chr13,53058296,53058815
WFDC10A,chr20,44258165,44259835
RPL7AP66,chr18,36914836,36915639
MIR5583-1,chr18,37256685,37256743
RNU6-1169P,chr15,41740940,41741042
CYFIP1,chr15,22892005,23006016
TCEB1P2,chr15,41849225,41849633
RNU6-1242P,chr18,37258484,37258586
WFDC11,chr20,44277202,44298909
TPTE2P3,chr13,53063128,53161222
MIR626,chr15,41983783,41983876
RPL17P45,chr18,37723890,37724468
RNU7-145P,chr18,38052785,38052846
WFDC10B,chr20,44313292,44333658
TMPRSS15,chr21,19641433,19858197
RNA5SP393,chr15,42144111,42144227
MIR4310,chr15,42158693,42158749
WFDC13,chr20,44330655,44337456
MIR1827,chr15,78330873,78330937
SPINT4,chr20,44350990,44354469
LINC00907,chr18,39739247,40271387
IDH3B,chr20,2639041,2644865
MRPS31P4,chr13,53191693,53211581
KATNAL2,chr18,44497455,44627658
WFDC3,chr20,44376583,44420571
MIR759,chr13,53384179,53384274
PPIAP26,chr13,53394632,53395153
LINC01065,chr13,53720674,53725943
PCDH8P1,chr13,53774116,53776547
CASS4,chr20,54987168,55034396
RN7SL618P,chr13,53832212,53832505
RPL18P11,chr15,78953389,78953918
LINC00558,chr13,54389554,54450254
LINC00458,chr13,54689924,54707001
RPL21P116,chr15,79155589,79156071
RNU6-415P,chr15,79191182,79191278
MIR627,chr15,42491768,42491864
RPL13AP25,chr13,55014839,55015450
NCAM2,chr21,22370633,22915650
MIR5007,chr13,55748589,55748683
HNF4GP1,chr13,56573334,56574582
SPATA2P1,chr13,56788507,56791076
LINC00161,chr21,29911640,29912677
RN7SKP6,chr13,57459418,57459736
PRR20FP,chr13,57747587,57747766
RNU6-872P,chr21,30115530,30115613
MTCO2P3,chr13,57778513,57778933
HSPD1P7,chr21,30259602,30261594
PPP1R14D,chr15,41107650,41120907
SLC25A5P4,chr13,57888873,57890043
THUMPD1P1,chr21,30274101,30276019
RPL23P2,chr21,30369934,30370354
MIR184,chr15,79502130,79502213
HNRNPCP3,chr15,79528674,79529548
RPL31P53,chr13,57965305,57965652
RNA5SP30,chr13,58565484,58565598
LINC00374,chr13,58785831,58807251
RPL12P9,chr21,30500022,30500509
RNY4P29,chr13,59101789,59101885
CTAGE16P,chr13,59102749,59105160
DNAJA1P1,chr13,59325181,59326367
HMGN2P39,chr13,59584466,59584738
FAM227B,chr15,49619159,49913128
POLR3KP1,chr13,59645596,59645937
LINC00189,chr21,30565801,30660526
RPP40P2,chr13,59836814,59837525
RNU7-88P,chr13,60054204,60054266
DIAPH3-AS1,chr13,60586885,60618491
RN7SL375P,chr13,60608601,60608896
DIAPH3-AS2,chr13,60718832,60727639
MC5R,chr18,13824154,13826861
RNY4P28,chr13,60761872,60761964
LINC00434,chr13,60788486,60789080
MIR4758,chr20,60907543,60907613
TARDBPP2,chr13,60848910,60850140
RNA5SP31,chr13,61187742,61187868
EIF4A1P6,chr13,61211022,61212231
SERPINH1P1,chr9,34318405,34319653
LINC00378,chr13,61259333,61268662
MC2R,chr18,13882043,13915706
RN7SKP24,chr9,34478620,34478903
RNY3P5,chr13,61363694,61363795
LACTB,chr15,63413999,63434260
RNY4P31,chr13,61390831,61390923
MIR3169,chr13,61773932,61774014
GAPDHP14,chr21,30594642,30595578
RAC1P8,chr13,62379283,62379809
C20orf166-AS1,chr20,61141550,61148733
CNTFR-AS1,chr9,34568013,34582827
BACH1-IT1,chr21,30723955,30734215
LINC00358,chr13,62578226,62603681
BLM,chr15,91260558,91358859
MIR1-1,chr20,61151510,61151586
LINC01075,chr13,62798230,62824080
MIR133A2,chr20,61162119,61162220
RPL7P3,chr20,61169878,61170591
LINC01074,chr13,62895438,62896531
RNA5SP454,chr18,39850554,39850680
RNU6-443P,chr18,41412124,41412230
LINC00459,chr13,62897790,62902966
MRPL39,chr21,26957968,26979829
FAM205B,chr9,34832292,34838583
RPL32P28,chr13,62902121,62902517
RNA5SP455,chr18,41651548,41651666
KRT8P5,chr18,41900765,41902222
SQSTM1P1,chr13,62980191,62981049
LINC00448,chr13,63246418,63306492
LINC00376,chr13,63757234,63801189
FAM205CP,chr9,34889061,34895775
MIR4319,chr18,42550047,42550131
ZNF519,chr18,14057456,14132489
LINC00395,chr13,64241814,64312151
LINC00686,chr20,61326376,61331832
OR7E156P,chr13,64316498,64316945
CTSZ,chr20,57570240,57582302
LINC00659,chr20,61405480,61406764
GLULP4,chr9,34917172,34918293
RNU6-81P,chr13,64357934,64358037
OGFR-AS1,chr20,61431979,61436939
RTFDC1,chr20,55043647,55093943
PPP1R2P10,chr13,64385147,64385741
YWHAZP6,chr9,34922181,34922918
DPH3P1,chr20,61476490,61477543
SYF2P2,chr9,35010700,35011282
RN7SL338P,chr9,35049268,35049558
ARF4P2,chr20,61503602,61504428
BACH1-AS1,chr21,30742340,30743547
OR7E104P,chr13,64411166,64411589
BACH1-IT2,chr21,30742944,30746029
NFYAP1,chr13,64549584,64550555
BACH1-IT3,chr21,30868367,30872706
RNU6-667P,chr15,80109691,80109792
SPINT1,chr15,41136216,41150405
LINC00355,chr13,64560504,64650144
LINC00029,chr20,61665569,61668380
LGMNP1,chr13,65532229,65533528
RN7SKP26,chr18,43569619,43569911
GRIK1-AS1,chr21,31120494,31136321
LINC01056,chr20,61669363,61685215
STARP1,chr13,65883987,65885085
RNU6-1278P,chr18,43701581,43701687
HAR1B,chr20,61726845,61733671
ATP8B5P,chr9,35406752,35483026
LINC00307,chr21,31581469,31584101
HNRNPA3P5,chr13,66362064,66362896
HAR1A,chr20,61733483,61735738
RPL8P2,chr21,31635698,31636199
LINC01052,chr13,66440306,66452351
MIR548X2,chr13,66540462,66540561
MIR4704,chr13,66792382,66792456
MIR124-3,chr20,61809852,61809938
TRIM60P19,chr13,66843129,66844590
EBF4,chr20,2673524,2740753
MIR3196,chr20,61870131,61870194
LINC00927,chr15,80555410,80634147
PCDH9-AS1,chr13,66878003,66897693
MIR4326,chr20,61918160,61918218
RNU7-87P,chr13,67204847,67204908
RNU6-994P,chr20,61968691,61968801
PCDH9-AS2,chr13,67399301,67489163
ZFAND6P1,chr9,35449745,35450349
PCDH9-AS3,chr13,67551564,67559908
RPL36AP33,chr9,35507561,35507870
PCDH9-AS4,chr13,67565018,67576139
RPSAP53,chr13,67840977,67841838
MIR4667,chr9,35608091,35608156
RNU6-188P,chr15,42719789,42719895
LINC00364,chr13,67946519,67954108
TUBB1,chr20,57594309,57601709
BCRP9,chr13,68364539,68364926
RMRP,chr9,35657748,35658015
NPM1P22,chr13,68406008,68406959
FGF7,chr15,49715293,49780972
